Column1,Column2
relieve,…を和らげる…から取り除く
request,…を依頼する依頼
resist,…を拒む…に抵抗する
resolve,…を解決する決心する
restrict,…を制限する
retain,…を保持する
review,論評批評／…を論評する…を検討する
ruin,…を台無しにする
scare,…を怯えさせる…をびっくりさせる
scatter,…をまき散らす
scream,金切り声を上げる
secure,…を確保する…を安全にする／ゆるぎない
specialize,専門にする専攻する
spoil,…を台無しにする
strengthen,…を強化する
substitute,…を代わりに使う／代わり
suppress,…を抑える
swallow,…を飲み込む
sweep,…を掃く…を掃くように動かす
trace,…の跡［起源］を辿る／跡痕跡
undergo,…を経験する
urge,…を（強く）促す［要請する］／願望
wander,ぶらつく放浪する
weigh,…の重さがある
whisper,ささやく
yell,大声を上げる
absence,不在欠如
accent,（ことばの）なまり抑揚
acceptance,受け入れ
access,アクセス使用［閲覧］する機会［権利］
acquaintance,知り合い
affection,愛情
aggression,攻撃性
alarm,懸念／…に懸念を抱かせる
ambition,夢大望
appetite,食欲
application,応用適用
appointment,約束
arrangement,準備取り決め
athlete,運動選手
avenue,…通り大通り
band,（音楽の）バンド一団
border,国境
burden,重荷負担
campaign,政治的運動
candidate,候補者志願者
cash,現金
category,部門部類
cave,ほら穴
cell,細胞
charm,魅力／…を魅了する
colleague,同僚
colony,植民地
committee,委員会
companion,連れ仲間
comparison,比較
complaint,不満
complexity,複雑さ
composition,構成楽曲
confusion,混乱
construction,建設構造
contract,契約
convention,しきたり（大規模な）会議
courage,勇気
crash,衝突／衝突する
crew,乗組員一団
critic,批評家批判者
description,説明描写
dialect,方言なまり
dignity,威厳尊厳
disadvantage,不利デメリット
dispute,争議口論
division,分割部門
divorce,離婚
document,文書
ecology,生態（学）
economics,経済学
editor,編集者
emotion,感情
emperor,皇帝天皇
enterprise,会社事業
enthusiasm,情熱熱意
equality,平等
era,時代
exception,例外
executive,幹部重役
expense,費用出費犠牲
explosion,爆発
extinction,絶滅
facility,施設設備
fairy,妖精
flame,炎
fortune,運財産
foundation,土台根拠設立
frontier,国境辺境
fund,資金基金
funeral,葬式
fur,毛皮
furniture,家具調度品
garbage,（生）ゴミくず
gene,遺伝子
globe,地球
grave,墓／深刻な
ground,根拠理由
harmony,調和
harvest,収穫／…を収穫する
honor,名誉敬意
hunger,飢え空腹
immigration,（他国からの）移住
impulse,衝動
incident,事件
infant,幼児
inhabitant,（ある場所の）居住者生息動物
injury,けが
insect,昆虫
insight,深く正確な理解洞察（力）
instinct,本能
institution,制度慣習（重要な）施設
instrument,道具器具
insurance,保険
introduction,紹介導入
investment,投資
liberty,自由
limitation,制限制約
load,積み荷／…を積む
location,位置場所
logic,論理理屈
lord,封建君主…卿（大文字で）神
lung,肺
luxury,贅沢贅沢品
mail,郵便／…を投函する
mammal,哺乳動物
mineral,鉱物
minority,少数派
mood,気分
motive,動機
myth,神話
neighbor,近所の人
nerve,神経
obligation,義務
orbit,軌道
output,生産量産出量
owner,所有者
participant,参加者
passion,熱望強い関心
patience,辛抱強さ忍耐
perception,洞察（力）知覚
perspective,見地視座
pile,積み重ね「山」
pioneer,開拓者先駆者
poison,毒
portion,部分
possession,所有所有物
preference,好み
prejudice,先入観偏見
privilege,特権
profession,職業
pronunciation,発音
prospect,見通し見込み
punishment,罰
pursuit,追跡追求
ray,光線
recognition,その人［それ］だとわかること
reference,言及参照
reflection,反映反射
relief,安堵軽減
requirement,要求される事柄必要なもの
resident,居住者
ritual,儀式
root,根根源／…を根づかせる
sacrifice,犠牲／…を犠牲にする
scholar,学者
seed,種子
servant,使用人お手伝い
shade,日陰
shame,恥不名誉残念なこと
shelter,避難避難場所
shore,岸海岸
similarity,類似（点）
site,場所用地
specialist,専門家専門医
statistics,統計
steam,蒸気
strip,細長い一片［地域］／…をはぎ取る
stuff,モノ
suburb,郊外
tale,お話
telescope,望遠鏡
tension,緊張
territory,領土
text,本文書かれたもの
tide,潮風潮
tip,先先端
tone,音音色（声・ことばの）調子
traffic jam,交通渋滞
tragedy,悲劇
trail,通った跡でこぼこ道
trait,特性特徴
transportation,輸送
trap,わな…をわなにかける
treasure,宝財宝
trial,裁判試み
trick,…をだます／手品こつ
unemployment,失業
version,…版別形式
virtue,徳美徳長所
volunteer,ボランティア志願兵
voyage,航海
wage,賃金
weapon,武器
Westerner,西洋人西部に住む人
absolute,絶対的な完全な
abstract,抽象的な
accustomed,慣れている
additional,追加の
adequate,十分な
aggressive,攻撃的な積極的な
amazing,びっくりするような
annual,毎年の
apparent,外見上の明らかな
artificial,人工的な
Atlantic,大西洋の
atomic,原子の原子力の
awful,ひどい
based,基づいている
brilliant,すばらしい
calm,穏やかな落ち着いた
casual,何気ない
civil,公民の（軍事に対し）民間の
classical,古典の古典的な
definite,明確な
delicate,微妙な
democratic,民主主義の民主的な
desirable,望ましい
dirty,汚れた
distinct,はっきり異なる
elaborate,手の込んだ
electrical,電気の
elementary,初歩の基本の
equivalent,等しい同等の
evident,明らかな
exact,正確な
excessive,過度の
external,外部の
frequent,頻繁な
generous,気前のよい
genuine,本物の偽りのない
grand,壮大な
guilty,有罪の
identical,全く同じ
inevitable,避けられない
inferior,劣った
initial,当初の
inner,内部の
intimate,親密な
invisible,見えない
keen,切望した熱意のある
latest,最新の最近の
legal,法律の合法な
liberal,（他の思想に）寛大な自由主義的な
located,（ある場所に）位置する
logical,論理的な
long-term,長期的な
massive,巨大な大規模な
mature,成熟した
mechanical,機械の機械的な
minor,小さな重要度の低い
mutual,相互の
numerous,多数の
odd,変な奇数の／（oddsで）可能性
overwhelming,圧倒的な
painful,苦痛な
passive,受身の消極的な
peculiar,奇妙な
permanent,永久の常設の
plain,簡素な無地の／高原
precious,貴重な
precise,正確な
precisely,正確に
prime,主要な最重要の
principal,第一の主要な／校長学長
profound,深い大きな
racial,人種の
rational,理性的な
raw,生の原料のままの
relative,相対的［比較的］な
reliable,頼りになる
remote,遠い
routine,いつもの／いつもの手順
rude,失礼な
satisfactory,満足のいく
sensible,分別［判断力］がある
spare,予備の／＜時間・手間＞をさく
spiritual,精神の精神的な
steady,着実な
strict,厳しい厳密な
subtle,微妙な
sufficient,十分な
tremendous,非常に大きな
tropical,熱帯（地方）の
ultimate,究極の
uncomfortable,心地の悪い
unexpected,予期せぬ
unlikely,可能性が低い
unpleasant,不愉快な
verbal,ことばの口頭での
visual,視覚の視覚的な
widespread,広範囲に渡る
aloud,声に出して
altogether,完全に
barely,かろうじて
commonly,一般に
consequently,その結果
deliberately,故意に
effectively,効果的に
essentially,本質的に
firmly,堅く堅固に
increasingly,ますます
literally,文字通りに
practically,実質的にほとんど
primarily,主として
readily,すぐに
regardless,かかわらず関係なく
regularly,規則的に定期的に
roughly,大雑把に
socially,社会的に
steadily,着実に
traditionally,伝統的に
undoubtedly,疑いなく
whereas,…である一方で
beneath,…の下に
