Column1,Column2
result,結果
science,科学
sense,感覚，意味
shape,形／…を形作る
side,側面，側
sign,兆候／…に署名をする
situation,状況，情勢
skill,技能
society,社会
sort,種類
species,（動植物の）種
speech,話，スピーチ，演説
stage,段階，舞台
standard,標準，基準
state,状態，国家，州
step,措置，歩み
stranger,見知らぬ人，（ある場所に）初めて来た人
stress,強調，重圧／…を強調する
structure,構造
subject,話題，主題
success,成功，成功したもの［人］
supply,供給／…に供給する
surface,表面
system,体制，体系，組織
task,仕事，作業
taste,味／…な味がする
technology,テクノロジー，科学技術
temperature,温度，体温
term,期間，学期，用語，条件，間柄
theory,理論
trade,貿易，…を交換する
traffic,交通，往来／交通の
truth,真実
universe,宇宙
university,大学
value,価値／…を重んじる
variety,多様
view,眺め，見方／…を見る，…を～と見なす
war,戦争
weather,気候，天気
weight,重さ，体重
afraid,心配して怖がって
ancient,古代の大昔の
available,利用できる人の手があいている
average,平均の／平均
aware,気づいている
basic,基本的な基礎的な
certain,ある…確信している
close,近い親密な
common,一般的な共通の
complete,完全な
complex,複雑な
concerned,関わっている心配している
correct,正確な／…を訂正する
direct,直接の
dressed,服を身につけた
due,行われる［到着する］予定である
economic,経済の経済的な
environmental,環境の
equal,等しい／…に等しい
essential,不可欠な
expensive,値段が高い
familiar,馴染みのある
famous,有名な
foreign,外国の
free,束縛のない，無料の，暇な
full,いっぱいの，満腹である
general,一般的な，全般的な
healthy,健康（的）な
heavy,重い，大量の
huge,巨大な
human,人間の／人間
impossible,不可能な，だめな
individual,個人の，個々の／個人
industrial,産業の，工業の
international,国際的な
likely,可能性が高い
local,地元の
major,主な，大きな／専攻する
married,結婚した，既婚の
medical,医学の，医療の
mental,精神の，知的な
modern,現代の，近代の
national,国の，国立の
native,生まれ故郷の，生来の
nat,
necessary,必要な
obvious,明白な
ordinary,普通の
original,当初の／原文
own,自身の／…を所有している
particular,特定の，特にその，気むずかしい
past,過去の／過去
personal,個人的な，個人の
physical,身体の身体の物理的な
political,政治の，政治的な
popular,人気のある，大衆の
possible,可能な
practical,実用的な実際的な
present,出席している現在の
private,個人的な私的な
professional,専門職の／専門職の人
public,公共の／大衆
recent,最近の
related,関係している関連した
right,正しい／権利
round,丸い
scientific,科学の
separate,分離した／…を切り離す
serious,真剣な深刻な
similar,よく似た
single,一つの一人の独身の
social,社会の社交の
special,特別な
strange,奇妙な見知らぬ
sure,確信して確実な
thick,厚い
traditional,伝統的な
useful,役に立つ
various,さまざまな
vast,非常に大きな
whole,…の全て全体の
wrong,間違った
abroad,外国で外国へ
actually,実際に現実に
badly,ひどく悪く
especially,特に
eventually,最終的には
exactly,正確［厳密］にちょうど
extremely,極端に
forward,前方へ
frequently,頻繁に
generally,一般的に
highly,とても高く
however,しかしながら
immediately,即座に
indeed,確かに
later,後に…後
maybe,たぶん五分五分で
merely,単に
naturally,当然自然に
otherwise,さもなければそれとは違うように
particularly,特に
pretty,かなり
probably,おそらく
quite,かなり全く
recently,最近
simply,単に
therefore,それゆえ
although,…だけれども
unless,…でない限り（原則として）
while,…である一方で…している間に
except,…を除いて
toward,…に向かって
worth,…の価値がある
behind,…の背後に／背後に
