Column1,Column2
"stupidNote: Avoid using the word stupid. Consider using an alternative, such as&nbsp;uninformed, ignorant, foolish, inconsiderate, irrational or reckless.",馬鹿な
sudden,突然の
suitable,適した
superior,より優れた
technical,技術上の専門的な
terrible,ひどい不快な
tiny,ごく小さい
tough,頑強な
typical,典型的な
unique,他に類のない特別な
universal,普遍的な万国［万人］共通の
unknown,未知の無名の
unusual,めずらしい普通でない
upset,気持ちが動揺した／___ の心をかき乱す
urban,都会の都市の
useless,役に立たない
valuable,貴重な
visible,目に見える
vital,極めて重要な必要不可欠な
wealthy,裕福な
welcome,歓迎される／___ を歓迎する
well-known,よく知られた
willing,いとわないやぶさかでない
absolutely,絶対に
alive,生きている
apart,離れて
closely,綿密に密接に
constantly,常に
directly,直接（的）に
entirely,完全に全く
fairly,かなり公平に
forever,永遠に
fully,十分に完全に
gradually,次第に
largely,主として
necessarily,必然的に
nevertheless,にもかかわらず
normally,通常は正常に
obviously,明らかに
occasionally,時折
possibly,ひょっとすると
properly,適切に
rapidly,素早く
seldom,めったに ___ しない
slightly,わずかに
somehow,どうにか
somewhat,いくぶん
surely,確かに
totally,完全に
unfortunately,残念なことに
virtually,実質的に
widely,広範囲に
